,Make,Model,Sale Price,Resell Price,Top Speed,0-60 Time,Country,City,Color,Buyer Gender,Buyer Age
47,Pontiac,Bonneville,30807.01,5822.22,170.0,4.8,Czech Republic,Třebíč,Goldenrod,Male,20
48,Volvo,XC70,83931.45,33976.28,125.2,9.7,Russia,Dal’neye Konstantinovo,Orange,Male,48
49,Chevrolet,Silverado 3500,19302.57,38297.54,233.3,8.0,Russia,Strel'na,Red,Male,60
50,Volkswagen,Phaeton,36523.47,48115.11,182.4,9.9,Portugal,Marinha,Red,Male,45
51,Cadillac,CTS,93725.09,9196.36,232.3,7.4,Mozambique,Mocímboa,Indigo,Female,57
52,Dodge,Durango,48174.96,27476.49,210.0,4.6,Colombia,Ciénaga,Green,Female,48
53,Ford,Th!nk,39940.53,21190.78,133.5,3.0,Costa Rica,Alajuela,Red,Female,54
54,Lincoln,Continental,62801.41,30282.08,145.1,10.3,Belgium,Charleroi,Mauv,Male,40
55,Buick,Riviera,99186.8,25198.46,163.2,13.3,Russia,Novocherkassk,Mauv,Male,43
56,Dodge,Ram 1500,12092.44,36585.91,127.8,14.5,China,Jiangbei,Indigo,Male,37
57,Buick,Rendezvous,85370.17,43712.39,122.0,6.6,China,Guli,Red,Female,67
58,Porsche,928,91569.45,32465.38,238.2,7.0,Portugal,Casal Velho,Red,Female,52
59,Toyota,Tacoma,72220.87,32189.6,189.9,2.7,Morocco,Zaïo,Blue,Male,47
60,Mitsubishi,Mighty Max,67361.0,8769.93,173.4,12.5,Portugal,Antas,Puce,Male,51
61,Nissan,Pathfinder,16690.95,43704.45,140.9,3.0,Indonesia,Andongsari,Puce,Female,33
62,Volvo,C70,80005.09,17870.18,184.5,14.4,France,Saint-Louis,Yellow,Male,75
63,Land Rover,Range Rover Sport,29540.76,37955.07,239.9,7.0,Peru,Achoma,Mauv,Female,39
64,Mazda,B-Series,94478.19,8795.96,241.1,13.3,Brazil,Poções,Puce,Female,57
65,Mazda,Miata MX-5,77820.86,7471.61,167.6,8.8,Kazakhstan,Taranovskoye,Goldenrod,Female,33
66,Mazda,B-Series,89937.38,18059.9,247.1,14.3,Russia,Imeni Tsyurupy,Fuscia,Male,23
67,Kia,Sedona,14249.35,18006.37,131.8,9.0,China,Menlou,Aquamarine,Female,47
68,Dodge,Ram Wagon B150,88403.45,38462.86,140.5,9.4,Slovenia,Zgornje Gorje,Orange,Female,31
69,Oldsmobile,Aurora,80008.79,15031.08,212.2,10.1,Colombia,Baranoa,Yellow,Male,29
70,Hyundai,Accent,96871.79,26562.59,221.9,12.6,China,Raofeng,Violet,Male,24
71,Cadillac,Seville,32886.45,8755.67,210.2,2.5,Indonesia,Garahaji,Maroon,Male,56
72,Hyundai,Scoupe,61187.73,5769.58,193.4,6.3,Libya,Sirte,Turquoise,Female,54
73,Lincoln,MKT,82041.15,4828.57,194.4,9.5,Poland,Unisław,Mauv,Male,22
74,Volkswagen,riolet,61672.51,20056.62,180.6,10.0,Philippines,Veruela,Fuscia,Male,68
75,Land Rover,Range Rover,63541.5,25320.33,156.6,3.2,Greece,Xylókastro,Blue,Male,26
76,Dodge,Dakota,67756.75,48952.84,171.1,8.8,China,Dingqing,Indigo,Male,69
77,Chevrolet,Corvette,26799.6,14872.73,237.1,6.7,China,Waihai,Purple,Male,31
78,Mitsubishi,i-MiEV,86271.49,8972.83,171.5,13.0,Philippines,Mancilang,Mauv,Female,61
79,GMC,Rally Wagon 3500,20227.66,13643.1,201.4,13.7,South Korea,Incheon,Khaki,Male,33
80,Acura,TSX,95145.37,8939.94,135.6,13.9,Philippines,Allacapan,Yellow,Female,53
81,Acura,ZDX,78654.35,40166.49,243.9,6.3,Iran,Jongīyeh,Khaki,Male,21
82,Jeep,Cherokee,12269.08,24563.29,199.8,14.1,Costa Rica,Alajuela,Maroon,Female,47
83,Toyota,Avalon,86030.75,11812.27,209.8,8.0,China,Zhangshi,Aquamarine,Female,24
84,Lamborghini,Aventador,13125.55,22598.45,196.6,10.9,Serbia,Toba,Fuscia,Male,66
85,Mercury,Tracer,10325.14,37585.42,164.4,5.4,Denmark,København,Teal,Male,74
86,Chevrolet,Express 3500,94891.39,40867.01,233.7,9.7,Czech Republic,Strážnice,Green,Male,53
87,Buick,Reatta,41371.09,37181.0,120.9,13.5,Finland,Ruokolahti,Blue,Male,40
88,Volkswagen,Jetta,72916.91,25187.09,167.4,6.4,Indonesia,Krajan,Fuscia,Male,32
89,Lincoln,Navigator L,49236.57,43125.82,233.0,4.7,Philippines,Bombon,Goldenrod,Male,30
90,Nissan,300ZX,89316.77,48449.81,232.0,12.9,Japan,Okaya,Green,Female,65
91,Toyota,MR2,50551.94,17203.48,217.0,12.2,Argentina,Carhué,Fuscia,Female,40
92,Suzuki,Swift,65942.41,5906.33,142.8,2.9,Indonesia,Pandian,Purple,Male,68
93,Mitsubishi,Tredia,64606.94,13087.44,158.5,2.9,Indonesia,Cipanjang,Teal,Male,21
94,Mitsubishi,Mirage,36633.17,44886.19,135.3,6.2,Honduras,Quebradas,Pink,Male,51
95,Chevrolet,Monte Carlo,71271.58,35814.7,139.5,2.7,Philippines,Tarlac City,Purple,Female,22
96,Saturn,VUE,51257.04,33433.41,124.9,10.5,Bulgaria,Strazhitsa,Pink,Male,72
97,Volkswagen,GTI,21483.41,28182.4,193.7,11.2,Brazil,Brodósqui,Mauv,Female,24
98,Plymouth,Prowler,96277.99,23765.17,164.9,9.5,Indonesia,Kedungwringin,Yellow,Female,66
99,Audi,A8,11287.25,34835.55,169.1,7.1,Indonesia,Duwaktenggi,Maroon,Female,37
100,Lamborghini,Diablo,87311.9,42468.37,245.1,7.2,Mexico,Providencia,Mauv,Male,38
101,Mercedes-Benz,R-Class,32143.59,29177.53,134.3,13.7,Peru,Ica,Maroon,Male,71
102,Cadillac,XLR,94162.23,9953.73,139.6,9.4,Mexico,La Esperanza,Violet,Female,73
103,Mazda,626,80656.65,48768.09,157.9,3.4,China,Jiutai,Yellow,Male,67
104,Pontiac,Firebird,94996.07,20574.37,211.9,11.5,Japan,Maki,Yellow,Female,29
105,Honda,Fit,64560.37,37241.46,143.2,10.3,Peru,Granada,Crimson,Male,66
106,Lexus,ES,75463.55,35588.91,249.0,11.4,Czech Republic,Březí,Khaki,Male,34
107,BMW,7 Series,22060.5,17943.65,171.0,6.3,United States,Chicago,Yellow,Female,40
108,Mazda,Millenia,82657.77,40091.69,177.1,2.3,Philippines,Sibucao,Aquamarine,Male,62
109,Cadillac,STS,81090.19,9615.36,244.3,12.3,Kiribati,Betio Village,Red,Female,21
110,Porsche,911,97251.74,42643.45,228.9,6.9,China,Baihe,Green,Male,37
111,Chevrolet,Camaro,75317.54,9056.29,191.3,3.7,Mexico,El Limon,Aquamarine,Male,56
112,Toyota,Paseo,75504.88,17685.3,147.3,4.3,South Africa,Jan Kempdorp,Puce,Female,68
113,Cadillac,Escalade ESV,30728.18,45652.52,203.9,14.7,Brazil,Trindade,Blue,Female,22
114,Oldsmobile,Alero,11609.78,18772.76,238.5,3.0,China,Baozi,Teal,Female,58
115,Lexus,GS,57177.42,49239.84,182.7,10.9,United States,Van Nuys,Turquoise,Male,27
116,BMW,M3,94448.79,33328.55,193.8,7.6,China,Fengqiao,Pink,Female,26
117,Cadillac,Escalade,63096.11,19383.63,229.0,5.3,United States,Omaha,Green,Female,63
118,Pontiac,Trans Sport,42191.59,6153.48,195.1,6.5,China,Sexiong,Indigo,Female,24
119,Honda,Civic,57860.96,23047.65,128.2,4.3,China,Shuangjing,Red,Male,24
120,Mercury,Topaz,78275.4,47037.99,188.0,12.1,Chile,Los Ángeles,Orange,Female,53
121,Mazda,MPV,85619.92,23323.23,231.3,13.0,Russia,Mar’ina Roshcha,Crimson,Female,25
122,Toyota,MR2,15788.39,6342.62,248.6,4.3,Japan,Chino,Violet,Female,42
123,Suzuki,Swift,94045.36,43612.23,193.9,14.0,Japan,Sasebo,Violet,Female,61
124,Honda,Civic,14212.88,42933.75,201.2,5.3,Kosovo,Gllogjan,Green,Male,41
125,BMW,6 Series,33527.91,38401.36,137.2,8.7,China,Yiqi,Aquamarine,Male,20
126,Mercury,Lynx,29563.05,49251.28,149.0,4.0,China,Qiankeng,Red,Male,26
127,Buick,Century,28069.14,3384.26,160.7,10.6,France,Paris 04,Red,Female,40
128,BMW,330,36588.29,40824.76,177.9,2.8,China,Zonghan,Fuscia,Male,67
129,Mitsubishi,Cordia,86350.32,19850.62,124.5,7.5,United States,Migrate,Blue,Female,65
130,Volvo,XC90,36700.85,45806.23,242.0,7.6,France,Charleville-Mézières,Khaki,Female,44
131,Maserati,228,34974.97,13020.82,174.2,3.4,China,Huangdimiao,Maroon,Female,57
132,Chevrolet,Venture,30928.23,23444.88,225.1,5.2,Greece,Ílion,Goldenrod,Male,31
133,Cadillac,DeVille,66283.98,2409.83,233.3,5.1,Russia,Bobrov,Violet,Female,35
134,Lexus,IS-F,75332.73,32384.92,124.1,9.8,China,Taixi,Green,Female,53
135,Nissan,Sentra,30464.6,3131.75,128.5,11.6,Sweden,Umeå,Turquoise,Male,34
136,Ford,Escort,63177.26,33893.06,221.4,7.7,Pakistan,Daulatpur,Blue,Female,37
137,Oldsmobile,Cutlass Supreme,46709.45,46184.9,158.4,3.5,China,Shanghu,Red,Female,56
138,Audi,S8,62496.9,49168.17,236.8,14.0,Indonesia,Cihideung Satu,Yellow,Female,23
139,Pontiac,Firebird,71301.2,15055.83,228.5,13.5,Kuwait,Bayān,Indigo,Male,45
140,Hyundai,Elantra,66157.63,8070.75,125.1,2.3,China,Huaqiao,Mauv,Female,20
141,Aston Martin,DB9,75881.16,10743.31,240.0,9.7,Ukraine,Tlumach,Violet,Male,47
142,Volkswagen,New Beetle,34156.39,13071.68,172.3,2.5,Ecuador,Machachi,Pink,Male,36
143,Chevrolet,Uplander,80753.77,43638.05,246.5,11.4,Indonesia,Pedaringan,Green,Male,59
144,Ford,Laser,42705.38,36280.09,187.0,14.9,Liberia,Kakata,Pink,Female,72
145,Audi,S4,91954.75,26324.05,220.6,11.2,United States,Austin,Pink,Male,54
146,Chevrolet,Silverado 3500,27819.81,6869.51,212.2,8.1,Thailand,Khuan Don,Red,Male,31
147,Pontiac,LeMans,21740.31,7654.25,239.1,12.7,Indonesia,Sembon,Teal,Male,57
148,Mercedes-Benz,E-Class,69723.76,42080.13,231.7,14.7,Indonesia,Bangkal,Goldenrod,Female,41
149,Hyundai,Tiburon,77331.24,33602.25,211.9,11.0,Poland,Lipno,Crimson,Male,42
150,BMW,5 Series,34912.47,27425.31,151.7,10.5,Sweden,Göteborg,Fuscia,Male,47
151,Toyota,Echo,47526.31,24888.7,155.0,2.6,China,Hong’an,Turquoise,Female,27
152,Mitsubishi,Precis,13154.21,2261.63,142.2,10.0,Canada,Oromocto,Maroon,Male,57
153,Plymouth,Breeze,72003.02,38508.27,180.6,14.0,Portugal,Casal Galego,Blue,Female,36
154,BMW,Alpina B7,30087.14,13755.88,232.1,12.2,Serbia,Majur,Crimson,Female,74
155,Lamborghini,Gallardo,73063.61,10648.0,229.5,12.5,Sweden,Höganäs,Indigo,Female,71
156,Chevrolet,Corvette,62426.28,3388.52,126.8,13.6,Indonesia,Jalinan,Yellow,Male,30
157,Oldsmobile,Cutlass Supreme,25403.61,26004.13,177.3,9.1,Portugal,Chavães,Pink,Male,34
158,Pontiac,Grand Am,30618.42,15690.94,194.0,10.1,Estonia,Toila,Teal,Female,20
159,Pontiac,LeMans,11462.18,23415.84,205.4,11.6,Bangladesh,Sylhet,Teal,Male,51
160,Audi,S6,14625.68,5684.73,232.8,8.1,Afghanistan,Mehtar Lām,Indigo,Female,46
161,Toyota,Celica,81325.5,14341.09,186.8,10.6,Kosovo,Vitina,Teal,Female,48
162,Mazda,Mazdaspeed 3,87205.22,30566.12,225.1,13.6,Russia,Belyye Stolby,Fuscia,Male,66
163,Porsche,Cayenne,31749.91,14153.44,133.6,2.6,Philippines,Quibal,Red,Male,30
164,GMC,Sierra 3500HD,16808.62,5304.96,249.9,6.2,Chile,Machalí,Puce,Female,33
165,Toyota,Sienna,13332.2,32824.09,172.7,6.6,France,La Rochelle,Crimson,Male,24
166,Audi,Allroad,80022.41,46695.57,129.5,12.5,Finland,Perniö,Crimson,Male,50
167,Chevrolet,Corvette,30130.99,6399.59,233.8,9.9,France,Thiais,Blue,Male,46
168,Mitsubishi,Tredia,60357.76,24392.8,199.0,8.0,China,Huangshi,Crimson,Female,29
169,GMC,Yukon,56553.1,46591.32,239.8,12.6,Czech Republic,Návsí u Jablunkova,Goldenrod,Male,24
170,Pontiac,Safari,99419.92,10087.39,229.2,2.6,Sweden,Eslöv,Purple,Male,21
171,Mazda,B-Series Plus,32137.64,5230.03,137.3,8.2,Indonesia,Bulupayung,Mauv,Female,29
172,Ford,Mustang,48280.51,13071.28,189.3,13.0,Nigeria,Pindiga,Orange,Male,72
173,Volkswagen,GTI,52939.81,30520.4,243.9,13.3,China,Qing’an,Puce,Female,59
174,GMC,1500,70947.97,3345.73,234.9,3.3,Vietnam,Long Thành,Blue,Male,56
175,Saturn,Outlook,59323.59,12648.14,228.8,8.1,Indonesia,Kelodan,Yellow,Female,47
176,Audi,100,38479.0,3585.18,133.8,4.4,United States,Albany,Mauv,Male,70
177,Ford,Focus,88463.65,4687.74,219.6,13.9,French Guiana,Cayenne,Blue,Male,21
178,Subaru,XT,31546.77,12981.16,146.0,10.4,Indonesia,Siborong-borong,Khaki,Female,21
179,Mitsubishi,Mirage,84248.68,15675.48,239.5,10.7,Morocco,Moulay Abdallah,Blue,Female,41
180,Mercedes-Benz,C-Class,60009.63,23231.41,146.2,10.8,Armenia,Varser,Yellow,Male,71
181,Porsche,911,22367.26,41425.13,233.2,11.0,Sudan,El Bauga,Green,Female,45
182,Mazda,Familia,55032.77,6853.18,230.5,7.9,China,Yangping,Purple,Male,65
183,Lexus,ES,75442.59,31521.94,170.4,2.4,Kenya,Moyale,Red,Female,43
184,Pontiac,LeMans,48479.09,48343.88,136.2,3.0,Brazil,Itabira,Orange,Male,25
185,Land Rover,Discovery,16038.14,11208.85,126.9,9.7,Senegal,Koungheul,Khaki,Female,40
186,Land Rover,Defender 90,13460.73,27265.65,150.8,13.2,Portugal,Colos,Indigo,Female,44
187,Lamborghini,Gallardo,28314.33,9076.38,241.8,13.7,Belarus,Dokshytsy,Fuscia,Male,46
188,Mercury,Cougar,10068.96,49528.57,177.8,8.4,Philippines,Pandasan,Goldenrod,Female,57
189,Toyota,Prius,18969.77,43529.06,214.4,9.2,Czech Republic,Vítkov,Aquamarine,Male,24
190,Ford,Focus,52975.46,6970.7,224.3,7.7,China,Yangji,Purple,Female,73
191,Aston Martin,DBS,91905.14,3540.51,166.1,8.7,Indonesia,Gereneng,Maroon,Male,25
192,Hyundai,Santa Fe,74914.14,4255.97,149.4,12.1,China,Suqin Huimin,Pink,Male,61
193,Chevrolet,Cavalier,55848.72,37296.01,222.7,5.7,Brazil,Campos Novos,Indigo,Female,39
194,Saab,9000,97974.41,16574.31,167.2,12.6,Mongolia,Delgermörön,Blue,Female,74
195,Mazda,MX-5,45392.43,41211.83,152.5,12.9,Poland,Borowno,Blue,Male,28
196,Maybach,62,79360.54,9483.17,171.3,12.7,Angola,Mbanza Congo,Turquoise,Male,67
197,Subaru,Tribeca,84113.72,32471.31,205.2,8.4,Indonesia,Tegalbuleud,Purple,Male,36
198,Infiniti,Q,56870.27,35771.5,158.4,4.3,Netherlands,Heerlen,Maroon,Male,24
199,Mitsubishi,Montero,94575.46,31017.51,161.6,7.6,Argentina,Corral de Bustos,Green,Male,39
200,Dodge,Ram 2500,37808.65,22136.94,170.9,7.5,Canada,Sydney Mines,Fuscia,Male,31
201,Lincoln,Aviator,24817.01,9430.51,177.5,11.6,Philippines,Ramos West,Green,Male,32
202,Lamborghini,Murciélago,30722.81,43911.51,135.0,11.3,China,Beilun,Yellow,Male,74
203,Dodge,Ram Van 2500,39006.43,3943.98,246.9,8.0,Portugal,Gonça,Turquoise,Male,31
204,Volkswagen,Eos,60082.82,20661.06,218.1,5.1,United States,Mesa,Orange,Female,30
205,Lincoln,MKX,63011.73,7803.9,173.5,12.5,China,Guanghou,Goldenrod,Female,63
206,Land Rover,Range Rover Sport,10775.58,24682.55,171.6,11.8,Indonesia,Bangekdewa,Purple,Male,27
207,Dodge,Magnum,14516.11,2797.19,231.7,6.7,Azerbaijan,Khyzy,Green,Female,61
208,Isuzu,Oasis,75790.07,43256.0,154.5,5.2,Morocco,Taroudant,Fuscia,Male,42
209,Ford,Freestar,89326.21,3522.12,170.0,12.9,Brazil,Santa Gertrudes,Yellow,Female,21
210,Chevrolet,Caprice,60915.51,6349.97,249.7,2.3,Indonesia,Cisadap,Maroon,Male,68
211,Toyota,T100 Xtra,86299.13,40268.0,157.2,7.0,Poland,Suchy Las,Teal,Male,24
212,Dodge,Magnum,29955.68,18085.16,209.3,5.6,Ukraine,Nedryhayliv,Green,Female,67
213,Oldsmobile,Ciera,59256.98,41532.54,137.3,2.3,Indonesia,Rapas,Goldenrod,Female,69
214,Pontiac,LeMans,63067.35,42313.65,148.1,8.9,Latvia,Vecpiebalga,Maroon,Male,74
215,Land Rover,Freelander,26329.33,33498.13,193.1,9.2,United States,Sacramento,Mauv,Male,53
216,Chevrolet,Impala,59674.29,14520.45,200.2,3.2,Brazil,Praia Grande,Yellow,Male,70
217,Nissan,Xterra,40376.83,47528.31,148.2,4.3,France,Roissy Charles-de-Gaulle,Yellow,Male,27
218,Volvo,240,70282.48,21808.48,215.4,3.9,Kosovo,Dubova (Driloni),Puce,Female,69
219,Cadillac,XLR,71441.27,13379.78,137.8,9.8,Honduras,Concepción de la Barranca,Orange,Male,73
220,Ford,F-Series,96044.54,30790.06,163.0,9.3,Niger,Diffa,Purple,Male,50
221,Mazda,Mazda6,96021.18,40886.86,145.2,13.3,El Salvador,Apopa,Goldenrod,Female,23
222,Acura,TL,35466.67,49988.65,134.0,11.7,Ukraine,Radekhiv,Orange,Female,42
223,Bentley,Continental Flying Spur,47121.75,10736.67,153.9,13.1,Indonesia,Panyindangan,Khaki,Female,69
224,Ford,Mustang,69950.43,7805.98,164.5,6.4,Peru,Mariatana,Red,Female,63
225,Chevrolet,3500,69724.71,45833.93,230.1,12.7,South Korea,Reiko,Yellow,Female,28
226,Lotus,Evora,13665.77,11270.33,205.6,7.7,Philippines,Pangapisan,Violet,Male,74
227,Ford,E-Series,16703.6,18211.27,223.8,3.9,China,Lixi,Turquoise,Female,40
228,Mercedes-Benz,SLK-Class,81096.87,16657.94,183.8,6.6,Brazil,Rolante,Indigo,Male,57
229,Volkswagen,Fox,31408.41,7554.95,209.6,4.3,Guatemala,Acatenango,Aquamarine,Male,61
230,Citroën,CX,82467.24,43353.82,164.8,12.6,China,Hexi,Orange,Female,27
231,Acura,MDX,49403.01,19769.29,190.7,10.1,Indonesia,Kebonkai,Turquoise,Male,22
232,Hyundai,Sonata,20287.82,39267.73,134.3,7.7,Thailand,Chum Phuang,Maroon,Female,65
233,Isuzu,Axiom,81898.6,37033.24,189.6,14.7,Indonesia,Bakung Utara,Indigo,Female,41
234,Saab,9-7X,95642.67,45199.88,208.0,12.8,Brazil,Riachão do Jacuípe,Khaki,Male,63
235,Mitsubishi,Chariot,43118.75,5297.9,244.6,10.3,Venezuela,Camatagua,Teal,Male,23
236,Plymouth,Grand Voyager,58237.59,20051.85,133.9,2.4,Greece,Astypálaia,Purple,Male,36
237,Lamborghini,Countach,91260.76,43179.93,230.2,5.0,Israel,‘Afula ‘Illit,Puce,Female,62
238,Nissan,Sentra,85349.49,44271.84,149.9,8.1,Argentina,Fontana,Crimson,Male,67
239,Isuzu,i-370,66554.94,9978.65,179.7,2.7,Ukraine,Novohrad-Volyns’kyy,Mauv,Male,42
240,Chevrolet,Silverado 1500,60285.33,25284.99,186.6,3.4,China,Dalazi,Crimson,Male,71
241,Lamborghini,Gallardo,70126.32,4893.23,134.7,3.5,China,Jianping,Aquamarine,Female,24
242,Pontiac,LeMans,53049.7,14709.55,210.1,2.4,Indonesia,Nonohonis,Aquamarine,Male,68
243,Volkswagen,Jetta III,72820.81,45000.87,135.8,7.9,Brazil,Jaraguá do Sul,Mauv,Female,65
244,Lexus,SC,84375.37,30302.92,242.8,9.0,Poland,Wąwolnica,Orange,Female,45
245,Honda,Element,88651.23,26047.97,192.6,8.7,Malaysia,Sandakan,Red,Female,61
246,Ford,Econoline E250,24963.26,29193.94,191.2,14.4,Colombia,San Calixto,Red,Male,73
247,Mazda,Mazda3,42928.14,33277.99,209.9,8.5,Russia,Paratunka,Puce,Female,43
248,Ford,F350,92656.05,9528.66,155.7,8.3,Russia,Arsen’yev,Yellow,Male,40
249,Ford,Taurus,87981.16,28259.63,146.1,5.2,Chad,Mongo,Indigo,Female,43
250,Toyota,Sienna,51824.8,30556.69,150.2,7.5,Portugal,Torreira,Blue,Female,61
251,Buick,Riviera,75434.09,25020.38,245.0,4.0,Brazil,Feira de Santana,Teal,Male,20
252,Audi,A8,86749.45,34427.83,231.2,2.0,Indonesia,Cerme Kidul,Fuscia,Female,40
253,Lincoln,Continental,72493.43,7370.67,123.3,6.2,Russia,Kislyakovskaya,Aquamarine,Female,75
254,MINI,Cooper,27285.24,39514.13,163.2,5.5,China,Sigou,Pink,Female,51
255,Buick,Riviera,36099.63,22804.26,172.5,13.8,Ukraine,Kornyn,Violet,Female,49
256,Isuzu,Amigo,26367.76,45725.62,136.8,3.1,Poland,Łomianki,Puce,Male,34
257,Mazda,Familia,43100.74,13932.8,152.5,9.4,Indonesia,Labuhansumbawa,Orange,Male,25
258,Scion,tC,22557.76,26652.49,195.1,7.6,Japan,Chigasaki,Green,Male,52
259,Saab,9000,56186.48,40632.62,154.5,12.2,Finland,Kittilä,Maroon,Female,39
260,Mitsubishi,Outlander,88166.34,29271.86,124.3,11.5,Peru,Caja,Puce,Female,34
261,Kia,Sedona,43710.8,14444.76,229.1,10.2,Ukraine,Vashkivtsi,Yellow,Male,32
262,Toyota,Camry Hybrid,18659.96,4341.61,176.5,11.2,Azerbaijan,Shamkhor,Orange,Female,72
263,Saab,9000,77749.44,32002.04,165.2,4.8,Philippines,Digkilaan,Turquoise,Male,43
264,Infiniti,QX,40038.24,5889.63,211.9,10.8,Colombia,Montenegro,Khaki,Male,47
265,Honda,Accord,24065.74,21455.09,144.5,4.5,Japan,Tanashichō,Turquoise,Male,44
266,Mitsubishi,Galant,16229.59,4422.27,244.8,11.8,Russia,Labytnangi,Blue,Male,48
267,Chevrolet,Venture,61050.55,37888.58,169.1,4.6,Russia,Monastyrishche,Turquoise,Male,62
268,Ford,LTD Crown Victoria,98178.88,10216.59,137.0,2.8,Indonesia,Sungaiduri,Yellow,Female,34
269,Mercedes-Benz,M-Class,80348.1,31862.65,143.6,3.7,Peru,Quichuay,Yellow,Female,67
